original,translate
Fine Composite Bow of Defence,Fine Composite Bow of Defence
Keen Fine Composite Bow,Keen Fine Composite Bow
Savage Fine Composite Bow,Savage Fine Composite Bow
Fine Longbow of Celerity,Fine Longbow of Celerity
Fine Longbow of Speed,Fine Longbow of Speed
Accurate Fine Longbow,Accurate Fine Longbow
Fine Longbow of Greater Accuracy,Fine Longbow of Greater Accuracy
Fine Longbow of Defence,Fine Longbow of Defence
Keen Fine Longbow,Keen Fine Longbow
Savage Fine Longbow,Savage Fine Longbow
Fine Shortbow of Celerity,Fine Shortbow of Celerity
Accurate Fine Shortbow,Accurate Fine Shortbow
Fine Shortbow of Greater Accuracy,Fine Shortbow of Greater Accuracy
Fine Shortbow of Defence,Fine Shortbow of Defence
Keen Fine Shortbow,Keen Fine Shortbow
Savage Fine Shortbow,Savage Fine Shortbow
Masterwork Composite Bow of Celerity,Masterwork Composite Bow of Celerity
Masterwork Composite Bow of Speed,Masterwork Composite Bow of Speed
Accurate Masterwork Composite Bow,Accurate Masterwork Composite Bow
Masterwork Composite Bow of Greater Accuracy,Masterwork Composite Bow of Greater Accuracy
Masterwork Composite Bow of the Master,Masterwork Composite Bow of the Master
Masterwork Composite Bow of Acid,Masterwork Composite Bow of Acid
Masterwork Composite Bow of Defence,Masterwork Composite Bow of Defence
Masterwork Composite Bow of Fire,Masterwork Composite Bow of Fire
Masterwork Composite Bow of Frost,Masterwork Composite Bow of Frost
Masterwork Composite Bow of the Grand-master,Masterwork Composite Bow of the Grandmaster
Keen Masterwork Composite Bow,Keen Masterwork Composite Bow
Savage Masterwork Composite Bow,Savage Masterwork Composite Bow
Masterwork Composite Bow of Lightning,Masterwork Composite Bow of Lightning
Masterwork Longbow of Celerity,Masterwork Longbow of Celerity
Masterwork Longbow of Speed,Masterwork Longbow of Speed
Accurate Masterwork Longbow,Accurate Masterwork Longbow
Masterwork Longbow of Greater Accuracy,Masterwork Longbow of Greater Accuracy
Masterwork Longbow of the Master,Masterwork Longbow of the Master
Masterwork Longbow of Acid,Masterwork Longbow of Acid
Masterwork Longbow of Defence,Masterwork Longbow of Defence
Masterwork Longbow of Fire,Masterwork Longbow of Fire
Masterwork Longbow of Frost,Masterwork Longbow of Frost
Masterwork Longbow of the Grand-master,Masterwork Longbow of the Grandmaster
Keen Masterwork Longbow,Keen Masterwork Longbow
Savage Masterwork Longbow,Savage Masterwork Longbow
Masterwork Longbow of Lightning,Masterwork Longbow of Lightning
Masterwork Shortbow of Celerity,Masterwork Shortbow of Celerity
Masterwork Shortbow of Speed,Masterwork Shortbow of Speed
Accurate Masterwork Shortbow,Accurate Masterwork Shortbow
Masterwork Shortbow of Greater Accuracy,Masterwork Shortbow of Greater Accuracy
Masterwork Shortbow of the Master,Masterwork Shortbow of the Master
Masterwork Shortbow of Acid,Masterwork Shortbow of Acid
Masterwork Shortbow of Defence,Masterwork Shortbow of Defence
Masterwork Shortbow of Fire,Masterwork Shortbow of Fire
Masterwork Shortbow of Frost,Masterwork Shortbow of Frost
Masterwork Shortbow of the Grand-master,Masterwork Shortbow of the Grandmaster
Keen Masterwork Shortbow,Keen Masterwork Shortbow
Savage Masterwork Shortbow,Savage Masterwork Shortbow
Masterwork Shortbow of Lightning,Masterwork Shortbow of Lightning
#Enchantments - Armor,#Enchantments - Armour
Fine Breastplate of Athletics,Fine Breastplate of Athletics
Fine Breastplate of Awareness,Fine Breastplate of Awareness
Fine Breastplate of Crafting,Fine Breastplate of Crafting
Fine Breastplate of Defence,Fine Breastplate of Defence
Fine Breastplate of Diplomacy,Fine Breastplate of Diplomacy
Fine Breastplate of Healing,Fine Breastplate of Healing
Fine Breastplate of Celerity,Fine Breastplate of Celerity
Fine Breastplate of Lore,Fine Breastplate of Lore
Fine Breastplate of Speed,Fine Breastplate of Speed
Fine Breastplate of Stealth,Fine Breastplate of Stealth
Fine Breastplate of Survival,Fine Breastplate of Survival
Fine Breastplate of Thievery,Fine Breastplate of Thievery
Fine Breastplate of Toughness,Fine Breastplate of Toughness
Fine Breastplate of Willpower,Fine Breastplate of Willpower
Fine Chainmail of Athletics,Fine Chainmail of Athletics
Fine Chainmail of Awareness,Fine Chainmail of Awareness
Fine Chainmail of Crafting,Fine Chainmail of Crafting
Fine Chainmail of Defence,Fine Chainmail of Defence
Fine Chainmail of Diplomacy,Fine Chainmail of Diplomacy
Fine Chainmail of Healing,Fine Chainmail of Healing
Fine Chainmail of Celerity,Fine Chainmail of Celerity
Fine Chainmail of Lore,Fine Chainmail of Lore
Fine Chainmail of Speed,Fine Chainmail of Speed
Fine Chainmail of Stealth,Fine Chainmail of Stealth
Fine Chainmail of Survival,Fine Chainmail of Survival
Fine Chainmail of Thievery,Fine Chainmail of Thievery
Fine Chainmail of Toughness,Fine Chainmail of Toughness
Fine Chainmail of Willpower,Fine Chainmail of Willpower
Fine Fullplate of Athletics,Fine Fullplate of Athletics
Fine Fullplate of Awareness,Fine Fullplate of Awareness
Fine Fullplate of Crafting,Fine Fullplate of Crafting
Fine Fullplate of Defence,Fine Fullplate of Defence
Fine Fullplate of Diplomacy,Fine Fullplate of Diplomacy
Fine Fullplate of Healing,Fine Fullplate of Healing
Fine Fullplate of Celerity,Fine Fullplate of Celerity
Fine Fullplate of Lore,Fine Fullplate of Lore
Fine Fullplate of Speed,Fine Fullplate of Speed
Fine Fullplate of Stealth,Fine Fullplate of Stealth
Fine Fullplate of Survival,Fine Fullplate of Survival
Fine Fullplate of Thievery,Fine Fullplate of Thievery
Fine Fullplate of Toughness,Fine Fullplate of Toughness
Fine Fullplate of Willpower,Fine Fullplate of Willpower
Fine Leather Armor of Athletics,Fine Leather Armor of Athletics
Fine Leather Armor of Awareness,Fine Leather Armour of Awareness
Fine Leather Armor of Crafting,Fine Leather Armour of Crafting
Fine Leather Armor of Defence,Fine Leather Armour of Defence
Fine Leather Armor of Diplomacy,Fine Leather Armour of Diplomacy
Fine Leather Armor of Healing,Fine Leather Armour of Healing
Fine Leather Armor of Celerity,Fine Leather Armour of Celerity
Fine Leather Armor of Lore,Fine Leather Armour of Lore
Fine Leather Armor of Speed,Fine Leather Armour of Speed
Fine Leather Armor of Stealth,Fine Leather Armour of Stealth
Fine Leather Armor of Survival,Fine Leather Armour of Survival
Fine Leather Armor of Thievery,Fine Leather Armour of Thievery
Fine Leather Armor of Toughness,Fine Leather Armour of Toughness
Fine Leather Armor of Willpower,Fine Leather Armour of Willpower
Fine Padded Armor of Athletics,Fine Padded Armour of Athletics
Fine Padded Armor of Awareness,Fine Padded Armour of Awareness
Fine Padded Armor of Crafting,Fine Padded Armour of Crafting
Fine Padded Armor of Defence,Fine Padded Armour of Defence
Fine Padded Armor of Diplomacy,Fine Padded Armour of Diplomacy
Fine Padded Armor of Healing,Fine Padded Armour of Healing
Fine Padded Armor of Celerity,Fine Padded Armour of Celerity
Fine Padded Armor of Lore,Fine Padded Armour of Lore
Fine Padded Armor of Speed,Fine Padded Armour of Speed
Fine Padded Armor of Stealth,Fine Padded Armour of Stealth
Fine Padded Armor of Survival,Fine Padded Armour of Survival
Fine Padded Armor of Thievery,Fine Padded Armour of Thievery
Fine Padded Armor of Toughness,Fine Padded Armour of Toughness
Fine Padded Armor of Willpower,Fine Padded Armour of Willpower
Fine Scalemail of Athletics,Fine Scalemail of Athletics
Fine Scalemail of Awareness,Fine Scalemail of Awareness
Fine Scalemail of Crafting,Fine Scalemail of Crafting
Fine Scalemail of Defence,Fine Scalemail of Defence
Fine Scalemail of Diplomacy,Fine Scalemail of Diplomacy
Fine Scalemail of Healing,Fine Scalemail of Healing
Fine Scalemail of Celerity,Fine Scalemail of Celerity
Fine Scalemail of Lore,Fine Scalemail of Lore
Fine Scalemail of Speed,Fine Scalemail of Speed
Fine Scalemail of Stealth,Fine Scalemail of Stealth
Fine Scalemail of Survival,Fine Scalemail of Survival
Fine Scalemail of Thievery,Fine Scalemail of Thievery
Fine Scalemail of Toughness,Fine Scalemail of Toughness
Fine Scalemail of Willpower,Fine Scalemail of Willpower
Fine Studded Leather of Agility,Fine Studded Leather of Agility
Fine Studded Leather of Athletics,Fine Studded Leather of Athletics
Fine Studded Leather of Awareness,Fine Studded Leather of Awareness
Fine Studded Leather of Crafting,Fine Studded Leather of Crafting
Fine Studded Leather of Defence,Fine Studded Leather of Defence
Fine Studded Leather of Diplomacy,Fine Studded Leather of Diplomacy
Fine Studded Leather of Healing,Fine Studded Leather of Healing
Fine Studded Leather of Celerity,Fine Studded Leather of Celerity
Fine Studded Leather of Lore,Fine Studded Leather of Lore
Fine Studded Leather of Speed,Fine Studded Leather of Speed
Fine Studded Leather of Stealth,Fine Studded Leather of Stealth
Fine Studded Leather of Survival,Fine Studded Leather of Survival
Fine Studded Leather of Thievery,Fine Studded Leather of Thievery
Fine Studded Leather of Toughness,Fine Studded Leather of Toughness
Fine Studded Leather of Willpower,Fine Studded Leather of Willpower
Fine Halfplate of Athletics,Fine Halfplate of Athletics
Fine Halfplate of Awareness,Fine Halfplate of Awareness
Fine Halfplate of Crafting,Fine Halfplate of Crafting
Fine Halfplate of Defence,Fine Halfplate of Defence
Fine Halfplate of Diplomacy,Fine Halfplate of Diplomacy
Fine Halfplate of Healing,Fine Halfplate of Healing
Fine Halfplate of Celerity,Fine Halfplate of Celerity
Fine Halfplate of Lore,Fine Halfplate of Lore
Fine Halfplate of Speed,Fine Halfplate of Speed
Fine Halfplate of Stealth,Fine Halfplate of Stealth
Fine Halfplate of Survival,Fine Halfplate of Survival
Fine Halfplate of Thievery,Fine Halfplate of Thievery
Fine Halfplate of Toughness,Fine Halfplate of Toughness
Fine Halfplate of Willpower,Fine Halfplate of Willpower
Masterwork Breastplate of Agility,Masterwork Breastplate of Agility
Masterwork Breastplate of Athletics,Masterwork Breastplate of Athletics
Masterwork Breastplate of Awareness,Masterwork Breastplate of Awareness
Masterwork Breastplate of Crafting,Masterwork Breastplate of Crafting
Masterwork Breastplate of Defence,Masterwork Breastplate of Defence
Masterwork Breastplate of Diplomacy,Masterwork Breastplate of Diplomacy
Masterwork Breastplate of Fortitude,Masterwork Breastplate of Fortitude
Masterwork Breastplate of Healing,Masterwork Breastplate of Healing
Masterwork Breastplate of Celerity,Masterwork Breastplate of Celerity
Masterwork Breastplate of Intellect,Masterwork Breastplate of Intellect
Masterwork Breastplate of Lore,Masterwork Breastplate of Lore
Masterwork Breastplate of Presence,Masterwork Breastplate of Presence
Masterwork Breastplate of Speed,Masterwork Breastplate of Speed
Masterwork Breastplate of Stealth,Masterwork Breastplate of Stealth
Masterwork Breastplate of Strength,Masterwork Breastplate of Strength
Masterwork Breastplate of Survival,Masterwork Breastplate of Survival
Masterwork Breastplate of Thievery,Masterwork Breastplate of Thievery
Masterwork Breastplate of Toughness,Masterwork Breastplate of Toughness
Masterwork Breastplate of Willpower,Masterwork Breastplate of Willpower
Masterwork Chainmail of Agility,Masterwork Chainmail of Agility
Masterwork Chainmail of Athletics,Masterwork Chainmail of Athletics
Masterwork Chainmail of Awareness,Masterwork Chainmail of Awareness
Masterwork Chainmail of Crafting,Masterwork Chainmail of Crafting
Masterwork Chainmail of Defence,Masterwork Chainmail of Defence
Masterwork Chainmail of Diplomacy,Masterwork Chainmail of Diplomacy
Masterwork Chainmail of Fortitude,Masterwork Chainmail of Fortitude
Masterwork Chainmail of Healing,Masterwork Chainmail of Healing
Masterwork Chainmail of Celerity,Masterwork Chainmail of Celerity
Masterwork Chainmail of Intellect,Masterwork Chainmail of Intellect
Masterwork Chainmail of Lore,Masterwork Chainmail of Lore
Masterwork Chainmail of Presence,Masterwork Chainmail of Presence
Masterwork Chainmail of Speed,Masterwork Chainmail of Speed
Masterwork Chainmail of Stealth,Masterwork Chainmail of Stealth
Masterwork Chainmail of Strength,Masterwork Chainmail of Strength
Masterwork Chainmail of Survival,Masterwork Chainmail of Survival
Masterwork Chainmail of Thievery,Masterwork Chainmail of Thievery
Masterwork Chainmail of Toughness,Masterwork Chainmail of Toughness
Masterwork Chainmail of Willpower,Masterwork Chainmail of Willpower
Masterwork Fullplate of Agility,Masterwork Fullplate of Agility
Masterwork Fullplate of Athletics,Masterwork Fullplate of Athletics
Masterwork Fullplate of Awareness,Masterwork Fullplate of Awareness
Masterwork Fullplate of Crafting,Masterwork Fullplate of Crafting
Masterwork Fullplate of Defence,Masterwork Fullplate of Defence
Masterwork Fullplate of Diplomacy,Masterwork Fullplate of Diplomacy
Masterwork Fullplate of Fortitude,Masterwork Fullplate of Fortitude
Masterwork Fullplate of Healing,Masterwork Fullplate of Healing
Masterwork Fullplate of Celerity,Masterwork Fullplate of Celerity
Masterwork Fullplate of Intellect,Masterwork Fullplate of Intellect
Masterwork Fullplate of Lore,Masterwork Fullplate of Lore
Masterwork Fullplate of Presence,Masterwork Fullplate of Presence
Masterwork Fullplate of Speed,Masterwork Fullplate of Speed
Masterwork Fullplate of Stealth,Masterwork Fullplate of Stealth
Masterwork Fullplate of Strength,Masterwork Fullplate of Strength
Masterwork Fullplate of Survival,Masterwork Fullplate of Survival
Masterwork Fullplate of Thievery,Masterwork Fullplate of Thievery
Masterwork Fullplate of Toughness,Masterwork Fullplate of Toughness
Masterwork Fullplate of Willpower,Masterwork Fullplate of Willpower
Masterwork Halfplate of Agility,Masterwork Halfplate of Agility
Masterwork Halfplate of Athletics,Masterwork Halfplate of Athletics
Masterwork Halfplate of Awareness,Masterwork Halfplate of Awareness
Masterwork Halfplate of Crafting,Masterwork Halfplate of Crafting
Masterwork Halfplate of Defence,Masterwork Halfplate of Defence
Masterwork Halfplate of Diplomacy,Masterwork Halfplate of Diplomacy
Masterwork Halfplate of Fortitude,Masterwork Halfplate of Fortitude
Masterwork Halfplate of Healing,Masterwork Halfplate of Healing
Masterwork Halfplate of Celerity,Masterwork Halfplate of Celerity
Masterwork Halfplate of Intellect,Masterwork Halfplate of Intellect
Masterwork Halfplate of Lore,Masterwork Halfplate of Lore
Masterwork Halfplate of Presence,Masterwork Halfplate of Presence
Masterwork Halfplate of Speed,Masterwork Halfplate of Speed
Masterwork Halfplate of Stealth,Masterwork Halfplate of Stealth
Masterwork Halfplate of Strength,Masterwork Halfplate of Strength
Masterwork Halfplate of Survival,Masterwork Halfplate of Survival
Masterwork Halfplate of Thievery,Masterwork Halfplate of Thievery
Masterwork Halfplate of Toughness,Masterwork Halfplate of Toughness
Masterwork Halfplate of Willpower,Masterwork Halfplate of Willpower
Masterwork Leather Armor of Agility,Masterwork Leather Armour of Agility
Masterwork Leather Armor of Athletics,Masterwork Leather Armour of Athletics
Masterwork Leather Armor of Awareness,Masterwork Leather Armour of Awareness
Masterwork Leather Armor of Crafting,Masterwork Leather Armour of Crafting
Masterwork Leather Armor of Defence,Masterwork Leather Armour of Defence
Masterwork Leather Armor of Diplomacy,Masterwork Leather Armour of Diplomacy
Masterwork Leather Armor of Fortitude,Masterwork Leather Armour of Fortitude
Masterwork Leather Armor of Healing,Masterwork Leather Armour of Healing
Masterwork Leather Armor of Celerity,Masterwork Leather Armour of Celerity
Masterwork Leather Armor of Intellect,Masterwork Leather Armour of Intellect
Masterwork Leather Armor of Lore,Masterwork Leather Armour of Lore
Masterwork Leather Armor of Presence,Masterwork Leather Armour of Presence
Masterwork Leather Armor of Speed,Masterwork Leather Armour of Speed
Masterwork Leather Armor of Stealth,Masterwork Leather Armour of Stealth
Masterwork Leather Armor of Strength,Masterwork Leather Armour of Strength
